keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Smart Phones,AT&T Samsung Galaxy A16 5G,49.99,49.99,3.3,4750,Best Buy,11,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:14850209975421171934,productid:7259946311474041356,headlineOfferDocid:2459842672143244686,imageDocid:9331449552249327896,rds:PC_3605949856211355067|PROD_PC_3605949856211355067,gpcid:3605949856211355067,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQn8QtrOD2U3cs9jVVFccAHV4VFfTZ05sKWXJRSfYdvdHQ-985BlIBUvufz9S1QQxrAEZp77_ncKU6AheNtrh6p_a6UCauopnnHwBWTDGhmqWeR9uHE3gkqAw
Smart Phones,Motorola edge 2026 128GB in Pantone Martini Olive,14.72,14.72,4.8,90,Verizon,12,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:7010132218541729306,productid:8095612594900680417,headlineOfferDocid:6626469685003959249,imageDocid:6461159517318903852,rds:PC_2293636852815891432|PROD_PC_2293636852815891432,gpcid:2293636852815891432,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSNltUAfhQpA0HHoOkkaL0a0af4VT_pNHbr5jkMU3G9-dP2wmmyt8RagKkl09MnXCpaZCq3enChl52kwJhA_mefywBJl_gTsQ
Smart Phones,Nothing Phone Pro,499.0,499.0,4.8,2120,Nothing US,13,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:2502126436239669735,productid:7739224739687778180,headlineOfferDocid:11642755278775297900,imageDocid:16734450638981640330,rds:PC_2901239192010480193|PROD_PC_2901239192010480193,gpcid:2901239192010480193,mid:576462549090375993,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTF-fK3NS7e_412akgvFAaZvCyeoZHo9xxB7S5yQ_m0mHB9Jr3qqdGVwkYsHebPCM-KkPbSNFnpJyyObNDnmySTkO8Ld5_u5YIaTfyJjOsy6gc91BIpWN8RVw
Smart Phones,Samsung Galaxy S25 FE,425.0,425.0,4.7,1500000,Walmart - Creo Distributions LLC,14,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:6600254614858543259,productid:13592217163833967679,headlineOfferDocid:15674223058890033125,imageDocid:10575838095230490273,rds:PC_11752250590237752181|PROD_PC_11752250590237752181,gpcid:5931833650059057744,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTra75FBGjbFDu98oXe-hl4V0hrP8dpr0ALzUwQpQJtnjZdXvnbo51M9rmnfU9qH8PGRt-4egrT1-jLAzaQYnRupZd53ZXCcqpxhCwfiV5WFsC-SwH4QvFxoX0p
Smart Phones,Google Pixel 10,799.0,799.0,4.6,20000,Google Store,15,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:12307396694487401640,productid:11239187474668693280,headlineOfferDocid:13949603511722589917,imageDocid:16666681085848681335,rds:PC_5970788150716304968|PROD_PC_5970788150716304968,gpcid:5970788150716304968,mid:576462842109939853,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR8scpl5q7hroezOeb0CZNgIw-pps0snOaGNtNyPy9ZZnFTB82zWAgAY4J95cfeGilNwHlzen8NXgqGopVS7x4yBwvOfeBzwg
Smart Phones,Samsung Galaxy A16 5G,99.99,99.99,4.2,66000,Best Buy,16,Unknown,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:5094407109000001837,productid:1235714181037903442,headlineOfferDocid:15252614559878566365,imageDocid:2102686247048272003,rds:PC_2924102817864490688|PROD_PC_2924102817864490688,gpcid:2924102817864490688,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQDrHdGgk_NvOvMtNyQBUNg3VA1_hd5MHSnYDORjWsemU7aoMb7HSDqgri-PkRywYYkTIZ3fhyl_BvQtqL_dxYiyLbR1mpDVSssGEN7f_57iR5m7h4mG0s7f4E
Smart Phones,Samsung Galaxy S26,4.99,4.99,4.7,85000,AT&T,17,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:6385544852855559337,productid:17102646227473372561,headlineOfferDocid:12226103101684030124,imageDocid:6726677923056879576,rds:PC_1767235362374137003|PROD_PC_1767235362374137003,gpcid:1767235362374137003,mid:576462879193290881,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRI4HJO3oeWuC_ZAfjjeDbXdbtuOv8Hok_R_EgRAEvZ_nhKnKgAKdjtIJmkKVDAjz-6sESkA9Ut6zvZLlO0Izqn9mj92SYdfw
Smart Phones,Unihertz Titan 2 The Latest 5G QWERTY Physical Keyboard Smartphone,489.99,489.99,4.9,1520,Unihertz,18,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:11096359191635339359,productid:5103755163300402110,headlineOfferDocid:8596076886936776563,imageDocid:5380728243891232178,rds:PC_2141872852046454307|PROD_PC_2141872852046454307,gpcid:2141872852046454307,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQu57n9AUXHmetJ9T54SsRmtwHRPW6dZnS8BwCX2HjYJ-no90Ic-FgdAidtgaatpaROCdQ3cHj0pVqRQnoZV7i-q_lNCuiLJ1y1DBVF1OsNRhSJmtlmeIoUKUM
Smart Phones,Apple iPhone 16,729.99,729.99,4.4,73000,Cricket Wireless,19,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:7236910580703698952,productid:8244352458350652455,headlineOfferDocid:8675200994595780033,imageDocid:8816729467174115483,rds:PC_17349136547463418483|PROD_PC_17349136547463418483,gpcid:4418722304984387033,mid:576462567291106987,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS_DPWLOJLZRE07F3U_PH9-mzCDJtanGyGo6KU_cPshBSXRYmhqjy2TDzeC-wVRxgFYpxw5th3mOcWmXv6XN9Hg-4IXJPUeQvD6ZCPmPluzErZJkN3o6L6P
Smart Phones,OnePlus 15R 256GB,699.99,699.99,4.5,2990,OnePlus Official Store,20,Free delivery,"https://www.google.com/search?ibp=oshop&q=Smart Phones&prds=catalogid:2940417071762887250,productid:3257107721465710076,headlineOfferDocid:2602529659895648163,imageDocid:18114255152244573991,rds:PC_8421108152179540640|PROD_PC_8421108152179540640,gpcid:8421108152179540640,mid:576462873284666503,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS_fuigWEANVk6jyriNinZz8WaLkqYEZFQkpjDZZHJxTUTGFQeL-OZCbWRfZ2scoWQREMhMw2EXBvlymmciqNzFXSb7XPVpg8NqeH5Gx0iVWqMQrKpCZR264A
